	leaf_7	leaf_5	leaf_9	leaf_20	leaf_8	leaf_1	leaf_13	leaf_11	leaf_18	leaf_14	leaf_15	leaf_2	leaf_3	leaf_12	leaf_4	leaf_10	leaf_6	leaf_19	leaf_16	leaf_17
leaf_7	1.0879999999999999	1.047	1.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_5	1.047	1.0879999999999999	1.085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_9	1.047	1.085	1.0879999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_20	0.0	0.0	0.0	1.088	0.712	0.712	0.712	0.712	0.712	0.712	0.712	0.712	0.712	0.712	0.712	0.712	0.712	0.712	0.712	0.712
leaf_8	0.0	0.0	0.0	0.712	1.088	1.021	1.021	1.021	1.021	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823
leaf_1	0.0	0.0	0.0	0.712	1.021	1.088	1.087	1.038	1.038	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823
leaf_13	0.0	0.0	0.0	0.712	1.021	1.087	1.088	1.038	1.038	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823
leaf_11	0.0	0.0	0.0	0.712	1.021	1.038	1.038	1.088	1.067	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823
leaf_18	0.0	0.0	0.0	0.712	1.021	1.038	1.038	1.067	1.088	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823	0.823
leaf_14	0.0	0.0	0.0	0.712	0.823	0.823	0.823	0.823	0.823	1.087	1.079	1.035	1.035	1.035	0.961	0.961	0.961	0.961	0.961	0.961
leaf_15	0.0	0.0	0.0	0.712	0.823	0.823	0.823	0.823	0.823	1.079	1.087	1.035	1.035	1.035	0.961	0.961	0.961	0.961	0.961	0.961
leaf_2	0.0	0.0	0.0	0.712	0.823	0.823	0.823	0.823	0.823	1.035	1.035	1.087	1.038	1.038	0.961	0.961	0.961	0.961	0.961	0.961
leaf_3	0.0	0.0	0.0	0.712	0.823	0.823	0.823	0.823	0.823	1.035	1.035	1.038	1.087	1.076	0.961	0.961	0.961	0.961	0.961	0.961
leaf_12	0.0	0.0	0.0	0.712	0.823	0.823	0.823	0.823	0.823	1.035	1.035	1.038	1.076	1.087	0.961	0.961	0.961	0.961	0.961	0.961
leaf_4	0.0	0.0	0.0	0.712	0.823	0.823	0.823	0.823	0.823	0.961	0.961	0.961	0.961	0.961	1.087	1.002	1.002	1.002	1.002	1.002
leaf_10	0.0	0.0	0.0	0.712	0.823	0.823	0.823	0.823	0.823	0.961	0.961	0.961	0.961	0.961	1.002	1.087	1.045	1.045	1.019	1.019
leaf_6	0.0	0.0	0.0	0.712	0.823	0.823	0.823	0.823	0.823	0.961	0.961	0.961	0.961	0.961	1.002	1.045	1.087	1.071	1.019	1.019
leaf_19	0.0	0.0	0.0	0.712	0.823	0.823	0.823	0.823	0.823	0.961	0.961	0.961	0.961	0.961	1.002	1.045	1.071	1.087	1.019	1.019
leaf_16	0.0	0.0	0.0	0.712	0.823	0.823	0.823	0.823	0.823	0.961	0.961	0.961	0.961	0.961	1.002	1.019	1.019	1.019	1.087	1.023
leaf_17	0.0	0.0	0.0	0.712	0.823	0.823	0.823	0.823	0.823	0.961	0.961	0.961	0.961	0.961	1.002	1.019	1.019	1.019	1.023	1.087
