"","leaf_1","leaf_2","leaf_3","leaf_4","leaf_5","leaf_6","leaf_7","leaf_8","leaf_9","leaf_10","leaf_11","leaf_12","leaf_13","leaf_14","leaf_15","leaf_16","leaf_17","leaf_18","leaf_19","leaf_20"
"leaf_1",0.821,0,0,0.626,0,0.785,0,0,0.626,0.626,0,0,0,0,0,0.626,0.626,0,0,0
"leaf_2",0,0.821,0.596,0,0.596,0,0.596,0.596,0,0,0.596,0.596,0.596,0.596,0.596,0,0,0.596,0.596,0.82
"leaf_3",0,0.596,0.821,0,0.776,0,0.63,0.66,0,0,0.63,0.776,0.776,0.63,0.63,0,0,0.791,0.63,0.596
"leaf_4",0.626,0,0,0.82,0,0.626,0,0,0.659,0.656,0,0,0,0,0,0.671,0.659,0,0,0
"leaf_5",0,0.596,0.776,0,0.822,0,0.63,0.66,0,0,0.63,0.816,0.817,0.63,0.63,0,0,0.776,0.63,0.596
"leaf_6",0.785,0,0,0.626,0,0.821,0,0,0.626,0.626,0,0,0,0,0,0.626,0.626,0,0,0
"leaf_7",0,0.596,0.63,0,0.63,0,0.821,0.63,0,0,0.708,0.63,0.63,0.708,0.78,0,0,0.63,0.776,0.596
"leaf_8",0,0.596,0.66,0,0.66,0,0.63,0.821,0,0,0.63,0.66,0.66,0.63,0.63,0,0,0.66,0.63,0.596
"leaf_9",0.626,0,0,0.659,0,0.626,0,0,0.819,0.656,0,0,0,0,0,0.659,0.704,0,0,0
"leaf_10",0.626,0,0,0.656,0,0.626,0,0,0.656,0.82,0,0,0,0,0,0.656,0.656,0,0,0
"leaf_11",0,0.596,0.63,0,0.63,0,0.708,0.63,0,0,0.821,0.63,0.63,0.818,0.708,0,0,0.63,0.708,0.596
"leaf_12",0,0.596,0.776,0,0.816,0,0.63,0.66,0,0,0.63,0.822,0.816,0.63,0.63,0,0,0.776,0.63,0.596
"leaf_13",0,0.596,0.776,0,0.817,0,0.63,0.66,0,0,0.63,0.816,0.822,0.63,0.63,0,0,0.776,0.63,0.596
"leaf_14",0,0.596,0.63,0,0.63,0,0.708,0.63,0,0,0.818,0.63,0.63,0.821,0.708,0,0,0.63,0.708,0.596
"leaf_15",0,0.596,0.63,0,0.63,0,0.78,0.63,0,0,0.708,0.63,0.63,0.708,0.821,0,0,0.63,0.776,0.596
"leaf_16",0.626,0,0,0.671,0,0.626,0,0,0.659,0.656,0,0,0,0,0,0.82,0.659,0,0,0
"leaf_17",0.626,0,0,0.659,0,0.626,0,0,0.704,0.656,0,0,0,0,0,0.659,0.819,0,0,0
"leaf_18",0,0.596,0.791,0,0.776,0,0.63,0.66,0,0,0.63,0.776,0.776,0.63,0.63,0,0,0.821,0.63,0.596
"leaf_19",0,0.596,0.63,0,0.63,0,0.776,0.63,0,0,0.708,0.63,0.63,0.708,0.776,0,0,0.63,0.821,0.596
"leaf_20",0,0.82,0.596,0,0.596,0,0.596,0.596,0,0,0.596,0.596,0.596,0.596,0.596,0,0,0.596,0.596,0.821
