"","leaf_1","leaf_2","leaf_3","leaf_4","leaf_5","leaf_6","leaf_7","leaf_8","leaf_9","leaf_10","leaf_11","leaf_12","leaf_13","leaf_14","leaf_15","leaf_16","leaf_17","leaf_18","leaf_19","leaf_20"
"leaf_1",0.981,0,0,0.368,0,0,0,0.799,0.847,0.847,0,0,0.368,0.847,0.368,0,0.847,0,0.368,0
"leaf_2",0,0.981,0.844,0,0.915,0.915,0.844,0,0,0,0.844,0.915,0,0,0,0.915,0,0.734,0,0.915
"leaf_3",0,0.844,0.981,0,0.844,0.844,0.864,0,0,0,0.969,0.844,0,0,0,0.844,0,0.734,0,0.844
"leaf_4",0.368,0,0,0.981,0,0,0,0.368,0.368,0.368,0,0,0.889,0.368,0.889,0,0.368,0,0.964,0
"leaf_5",0,0.915,0.844,0,0.981,0.98,0.844,0,0,0,0.844,0.972,0,0,0,0.918,0,0.734,0,0.976
"leaf_6",0,0.915,0.844,0,0.98,0.981,0.844,0,0,0,0.844,0.972,0,0,0,0.918,0,0.734,0,0.976
"leaf_7",0,0.844,0.864,0,0.844,0.844,0.981,0,0,0,0.864,0.844,0,0,0,0.844,0,0.734,0,0.844
"leaf_8",0.799,0,0,0.368,0,0,0,0.982,0.799,0.799,0,0,0.368,0.799,0.368,0,0.799,0,0.368,0
"leaf_9",0.847,0,0,0.368,0,0,0,0.799,0.981,0.943,0,0,0.368,0.882,0.368,0,0.943,0,0.368,0
"leaf_10",0.847,0,0,0.368,0,0,0,0.799,0.943,0.982,0,0,0.368,0.882,0.368,0,0.972,0,0.368,0
"leaf_11",0,0.844,0.969,0,0.844,0.844,0.864,0,0,0,0.981,0.844,0,0,0,0.844,0,0.734,0,0.844
"leaf_12",0,0.915,0.844,0,0.972,0.972,0.844,0,0,0,0.844,0.981,0,0,0,0.918,0,0.734,0,0.972
"leaf_13",0.368,0,0,0.889,0,0,0,0.368,0.368,0.368,0,0,0.981,0.368,0.892,0,0.368,0,0.889,0
"leaf_14",0.847,0,0,0.368,0,0,0,0.799,0.882,0.882,0,0,0.368,0.981,0.368,0,0.882,0,0.368,0
"leaf_15",0.368,0,0,0.889,0,0,0,0.368,0.368,0.368,0,0,0.892,0.368,0.981,0,0.368,0,0.889,0
"leaf_16",0,0.915,0.844,0,0.918,0.918,0.844,0,0,0,0.844,0.918,0,0,0,0.981,0,0.734,0,0.918
"leaf_17",0.847,0,0,0.368,0,0,0,0.799,0.943,0.972,0,0,0.368,0.882,0.368,0,0.982,0,0.368,0
"leaf_18",0,0.734,0.734,0,0.734,0.734,0.734,0,0,0,0.734,0.734,0,0,0,0.734,0,0.981,0,0.734
"leaf_19",0.368,0,0,0.964,0,0,0,0.368,0.368,0.368,0,0,0.889,0.368,0.889,0,0.368,0,0.981,0
"leaf_20",0,0.915,0.844,0,0.976,0.976,0.844,0,0,0,0.844,0.972,0,0,0,0.918,0,0.734,0,0.981
