"","leaf_1","leaf_2","leaf_3","leaf_4","leaf_5","leaf_6","leaf_7","leaf_8","leaf_9","leaf_10","leaf_11","leaf_12","leaf_13","leaf_14","leaf_15","leaf_16","leaf_17","leaf_18","leaf_19","leaf_20"
"leaf_1",0.728,0.144,0.144,0.727,0.144,0.144,0.3,0,0.144,0.144,0.3,0.144,0.144,0.144,0.144,0.3,0.3,0.3,0.144,0.144
"leaf_2",0.144,0.727,0.639,0.144,0.668,0.668,0.144,0,0.543,0.717,0.144,0.543,0.543,0.543,0.668,0.144,0.144,0.144,0.668,0.712
"leaf_3",0.144,0.639,0.727,0.144,0.639,0.639,0.144,0,0.543,0.639,0.144,0.543,0.543,0.543,0.639,0.144,0.144,0.144,0.639,0.639
"leaf_4",0.727,0.144,0.144,0.728,0.144,0.144,0.3,0,0.144,0.144,0.3,0.144,0.144,0.144,0.144,0.3,0.3,0.3,0.144,0.144
"leaf_5",0.144,0.668,0.639,0.144,0.727,0.712,0.144,0,0.543,0.668,0.144,0.543,0.543,0.543,0.712,0.144,0.144,0.144,0.692,0.668
"leaf_6",0.144,0.668,0.639,0.144,0.712,0.727,0.144,0,0.543,0.668,0.144,0.543,0.543,0.543,0.718,0.144,0.144,0.144,0.692,0.668
"leaf_7",0.3,0.144,0.144,0.3,0.144,0.144,0.729,0,0.144,0.144,0.627,0.144,0.144,0.144,0.144,0.726,0.627,0.726,0.144,0.144
"leaf_8",0,0,0,0,0,0,0,0.728,0,0,0,0,0,0,0,0,0,0,0,0
"leaf_9",0.144,0.543,0.543,0.144,0.543,0.543,0.144,0,0.727,0.543,0.144,0.723,0.659,0.719,0.543,0.144,0.144,0.144,0.543,0.543
"leaf_10",0.144,0.717,0.639,0.144,0.668,0.668,0.144,0,0.543,0.727,0.144,0.543,0.543,0.543,0.668,0.144,0.144,0.144,0.668,0.712
"leaf_11",0.3,0.144,0.144,0.3,0.144,0.144,0.627,0,0.144,0.144,0.728,0.144,0.144,0.144,0.144,0.627,0.644,0.627,0.144,0.144
"leaf_12",0.144,0.543,0.543,0.144,0.543,0.543,0.144,0,0.723,0.543,0.144,0.727,0.659,0.719,0.543,0.144,0.144,0.144,0.543,0.543
"leaf_13",0.144,0.543,0.543,0.144,0.543,0.543,0.144,0,0.659,0.543,0.144,0.659,0.728,0.659,0.543,0.144,0.144,0.144,0.543,0.543
"leaf_14",0.144,0.543,0.543,0.144,0.543,0.543,0.144,0,0.719,0.543,0.144,0.719,0.659,0.727,0.543,0.144,0.144,0.144,0.543,0.543
"leaf_15",0.144,0.668,0.639,0.144,0.712,0.718,0.144,0,0.543,0.668,0.144,0.543,0.543,0.543,0.727,0.144,0.144,0.144,0.692,0.668
"leaf_16",0.3,0.144,0.144,0.3,0.144,0.144,0.726,0,0.144,0.144,0.627,0.144,0.144,0.144,0.144,0.729,0.627,0.726,0.144,0.144
"leaf_17",0.3,0.144,0.144,0.3,0.144,0.144,0.627,0,0.144,0.144,0.644,0.144,0.144,0.144,0.144,0.627,0.728,0.627,0.144,0.144
"leaf_18",0.3,0.144,0.144,0.3,0.144,0.144,0.726,0,0.144,0.144,0.627,0.144,0.144,0.144,0.144,0.726,0.627,0.729,0.144,0.144
"leaf_19",0.144,0.668,0.639,0.144,0.692,0.692,0.144,0,0.543,0.668,0.144,0.543,0.543,0.543,0.692,0.144,0.144,0.144,0.727,0.668
"leaf_20",0.144,0.712,0.639,0.144,0.668,0.668,0.144,0,0.543,0.712,0.144,0.543,0.543,0.543,0.668,0.144,0.144,0.144,0.668,0.727
