"","leaf_1","leaf_2","leaf_3","leaf_4","leaf_5","leaf_6","leaf_7","leaf_8","leaf_9","leaf_10","leaf_11","leaf_12","leaf_13","leaf_14","leaf_15","leaf_16","leaf_17","leaf_18","leaf_19","leaf_20"
"leaf_1",0.731,0,0.703,0.697,0.697,0,0.695,0,0.605,0.697,0.697,0,0.605,0.64,0.697,0,0.605,0.697,0,0
"leaf_2",0,0.732,0,0,0,0.477,0,0.676,0,0,0,0.559,0,0,0,0.477,0,0,0.668,0.477
"leaf_3",0.703,0,0.731,0.697,0.697,0,0.695,0,0.605,0.697,0.697,0,0.605,0.64,0.697,0,0.605,0.697,0,0
"leaf_4",0.697,0,0.697,0.731,0.702,0,0.695,0,0.605,0.702,0.702,0,0.605,0.64,0.702,0,0.605,0.702,0,0
"leaf_5",0.697,0,0.697,0.702,0.731,0,0.695,0,0.605,0.73,0.712,0,0.605,0.64,0.704,0,0.605,0.728,0,0
"leaf_6",0,0.477,0,0,0,0.732,0,0.477,0,0,0,0.477,0,0,0,0.632,0,0,0.477,0.632
"leaf_7",0.695,0,0.695,0.695,0.695,0,0.731,0,0.605,0.695,0.695,0,0.605,0.64,0.695,0,0.605,0.695,0,0
"leaf_8",0,0.676,0,0,0,0.477,0,0.732,0,0,0,0.559,0,0,0,0.477,0,0,0.668,0.477
"leaf_9",0.605,0,0.605,0.605,0.605,0,0.605,0,0.732,0.605,0.605,0,0.687,0.605,0.605,0,0.687,0.605,0,0
"leaf_10",0.697,0,0.697,0.702,0.73,0,0.695,0,0.605,0.731,0.712,0,0.605,0.64,0.704,0,0.605,0.728,0,0
"leaf_11",0.697,0,0.697,0.702,0.712,0,0.695,0,0.605,0.712,0.731,0,0.605,0.64,0.704,0,0.605,0.712,0,0
"leaf_12",0,0.559,0,0,0,0.477,0,0.559,0,0,0,0.732,0,0,0,0.477,0,0,0.559,0.477
"leaf_13",0.605,0,0.605,0.605,0.605,0,0.605,0,0.687,0.605,0.605,0,0.732,0.605,0.605,0,0.707,0.605,0,0
"leaf_14",0.64,0,0.64,0.64,0.64,0,0.64,0,0.605,0.64,0.64,0,0.605,0.732,0.64,0,0.605,0.64,0,0
"leaf_15",0.697,0,0.697,0.702,0.704,0,0.695,0,0.605,0.704,0.704,0,0.605,0.64,0.731,0,0.605,0.704,0,0
"leaf_16",0,0.477,0,0,0,0.632,0,0.477,0,0,0,0.477,0,0,0,0.732,0,0,0.477,0.73
"leaf_17",0.605,0,0.605,0.605,0.605,0,0.605,0,0.687,0.605,0.605,0,0.707,0.605,0.605,0,0.732,0.605,0,0
"leaf_18",0.697,0,0.697,0.702,0.728,0,0.695,0,0.605,0.728,0.712,0,0.605,0.64,0.704,0,0.605,0.731,0,0
"leaf_19",0,0.668,0,0,0,0.477,0,0.668,0,0,0,0.559,0,0,0,0.477,0,0,0.732,0.477
"leaf_20",0,0.477,0,0,0,0.632,0,0.477,0,0,0,0.477,0,0,0,0.73,0,0,0.477,0.732
