"","leaf_1","leaf_2","leaf_3","leaf_4","leaf_5","leaf_6","leaf_7","leaf_8","leaf_9","leaf_10","leaf_11","leaf_12","leaf_13","leaf_14","leaf_15","leaf_16","leaf_17","leaf_18","leaf_19","leaf_20"
"leaf_1",0.334,0.212,0.212,0.204,0,0.321,0.331,0.288,0.028,0.321,0.212,0.204,0.028,0.212,0.212,0.028,0.028,0.204,0.212,0.204
"leaf_2",0.212,0.333,0.305,0.204,0,0.212,0.212,0.212,0.028,0.212,0.25,0.204,0.028,0.331,0.25,0.028,0.028,0.204,0.332,0.204
"leaf_3",0.212,0.305,0.334,0.204,0,0.212,0.212,0.212,0.028,0.212,0.25,0.204,0.028,0.305,0.25,0.028,0.028,0.204,0.305,0.204
"leaf_4",0.204,0.204,0.204,0.334,0,0.204,0.204,0.204,0.028,0.204,0.204,0.25,0.028,0.204,0.204,0.028,0.028,0.32,0.204,0.328
"leaf_5",0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"leaf_6",0.321,0.212,0.212,0.204,0,0.334,0.321,0.288,0.028,0.333,0.212,0.204,0.028,0.212,0.212,0.028,0.028,0.204,0.212,0.204
"leaf_7",0.331,0.212,0.212,0.204,0,0.321,0.334,0.288,0.028,0.321,0.212,0.204,0.028,0.212,0.212,0.028,0.028,0.204,0.212,0.204
"leaf_8",0.288,0.212,0.212,0.204,0,0.288,0.288,0.334,0.028,0.288,0.212,0.204,0.028,0.212,0.212,0.028,0.028,0.204,0.212,0.204
"leaf_9",0.028,0.028,0.028,0.028,0,0.028,0.028,0.028,0.332,0.028,0.028,0.028,0.159,0.028,0.028,0.296,0.221,0.028,0.028,0.028
"leaf_10",0.321,0.212,0.212,0.204,0,0.333,0.321,0.288,0.028,0.334,0.212,0.204,0.028,0.212,0.212,0.028,0.028,0.204,0.212,0.204
"leaf_11",0.212,0.25,0.25,0.204,0,0.212,0.212,0.212,0.028,0.212,0.334,0.204,0.028,0.25,0.311,0.028,0.028,0.204,0.25,0.204
"leaf_12",0.204,0.204,0.204,0.25,0,0.204,0.204,0.204,0.028,0.204,0.204,0.333,0.028,0.204,0.204,0.028,0.028,0.25,0.204,0.25
"leaf_13",0.028,0.028,0.028,0.028,0,0.028,0.028,0.028,0.159,0.028,0.028,0.028,0.333,0.028,0.028,0.159,0.159,0.028,0.028,0.028
"leaf_14",0.212,0.331,0.305,0.204,0,0.212,0.212,0.212,0.028,0.212,0.25,0.204,0.028,0.334,0.25,0.028,0.028,0.204,0.331,0.204
"leaf_15",0.212,0.25,0.25,0.204,0,0.212,0.212,0.212,0.028,0.212,0.311,0.204,0.028,0.25,0.334,0.028,0.028,0.204,0.25,0.204
"leaf_16",0.028,0.028,0.028,0.028,0,0.028,0.028,0.028,0.296,0.028,0.028,0.028,0.159,0.028,0.028,0.332,0.221,0.028,0.028,0.028
"leaf_17",0.028,0.028,0.028,0.028,0,0.028,0.028,0.028,0.221,0.028,0.028,0.028,0.159,0.028,0.028,0.221,0.333,0.028,0.028,0.028
"leaf_18",0.204,0.204,0.204,0.32,0,0.204,0.204,0.204,0.028,0.204,0.204,0.25,0.028,0.204,0.204,0.028,0.028,0.333,0.204,0.32
"leaf_19",0.212,0.332,0.305,0.204,0,0.212,0.212,0.212,0.028,0.212,0.25,0.204,0.028,0.331,0.25,0.028,0.028,0.204,0.333,0.204
"leaf_20",0.204,0.204,0.204,0.328,0,0.204,0.204,0.204,0.028,0.204,0.204,0.25,0.028,0.204,0.204,0.028,0.028,0.32,0.204,0.334
