"","leaf_1","leaf_2","leaf_3","leaf_4","leaf_5","leaf_6","leaf_7","leaf_8","leaf_9","leaf_10","leaf_11","leaf_12","leaf_13","leaf_14","leaf_15","leaf_16","leaf_17","leaf_18","leaf_19","leaf_20"
"leaf_1",0.825,0.602,0.602,0.602,0.791,0.479,0.602,0.602,0.602,0.602,0.791,0.602,0.791,0,0,0,0.602,0.602,0.602,0.791
"leaf_2",0.602,0.826,0.769,0.653,0.602,0.479,0.769,0.769,0.769,0.653,0.602,0.653,0.602,0,0,0,0.653,0.769,0.653,0.602
"leaf_3",0.602,0.769,0.826,0.653,0.602,0.479,0.772,0.825,0.772,0.653,0.602,0.653,0.602,0,0,0,0.653,0.772,0.653,0.602
"leaf_4",0.602,0.653,0.653,0.826,0.602,0.479,0.653,0.653,0.653,0.812,0.602,0.824,0.602,0,0,0,0.812,0.653,0.782,0.602
"leaf_5",0.791,0.602,0.602,0.602,0.825,0.479,0.602,0.602,0.602,0.602,0.798,0.602,0.819,0,0,0,0.602,0.602,0.602,0.823
"leaf_6",0.479,0.479,0.479,0.479,0.479,0.825,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0,0,0,0.479,0.479,0.479,0.479
"leaf_7",0.602,0.769,0.772,0.653,0.602,0.479,0.826,0.772,0.813,0.653,0.602,0.653,0.602,0,0,0,0.653,0.812,0.653,0.602
"leaf_8",0.602,0.769,0.825,0.653,0.602,0.479,0.772,0.826,0.772,0.653,0.602,0.653,0.602,0,0,0,0.653,0.772,0.653,0.602
"leaf_9",0.602,0.769,0.772,0.653,0.602,0.479,0.813,0.772,0.826,0.653,0.602,0.653,0.602,0,0,0,0.653,0.812,0.653,0.602
"leaf_10",0.602,0.653,0.653,0.812,0.602,0.479,0.653,0.653,0.653,0.826,0.602,0.812,0.602,0,0,0,0.814,0.653,0.782,0.602
"leaf_11",0.791,0.602,0.602,0.602,0.798,0.479,0.602,0.602,0.602,0.602,0.825,0.602,0.798,0,0,0,0.602,0.602,0.602,0.798
"leaf_12",0.602,0.653,0.653,0.824,0.602,0.479,0.653,0.653,0.653,0.812,0.602,0.826,0.602,0,0,0,0.812,0.653,0.782,0.602
"leaf_13",0.791,0.602,0.602,0.602,0.819,0.479,0.602,0.602,0.602,0.602,0.798,0.602,0.825,0,0,0,0.602,0.602,0.602,0.819
"leaf_14",0,0,0,0,0,0,0,0,0,0,0,0,0,0.824,0.616,0.616,0,0,0,0
"leaf_15",0,0,0,0,0,0,0,0,0,0,0,0,0,0.616,0.824,0.814,0,0,0,0
"leaf_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0.616,0.814,0.824,0,0,0,0
"leaf_17",0.602,0.653,0.653,0.812,0.602,0.479,0.653,0.653,0.653,0.814,0.602,0.812,0.602,0,0,0,0.826,0.653,0.782,0.602
"leaf_18",0.602,0.769,0.772,0.653,0.602,0.479,0.812,0.772,0.812,0.653,0.602,0.653,0.602,0,0,0,0.653,0.826,0.653,0.602
"leaf_19",0.602,0.653,0.653,0.782,0.602,0.479,0.653,0.653,0.653,0.782,0.602,0.782,0.602,0,0,0,0.782,0.653,0.825,0.602
"leaf_20",0.791,0.602,0.602,0.602,0.823,0.479,0.602,0.602,0.602,0.602,0.798,0.602,0.819,0,0,0,0.602,0.602,0.602,0.825
