	leaf_6	leaf_9	leaf_19	leaf_3	leaf_20	leaf_7	leaf_15	leaf_1	leaf_5	leaf_14	leaf_18	leaf_10	leaf_2	leaf_13	leaf_17	leaf_8	leaf_4	leaf_11	leaf_12	leaf_16
leaf_6	0.42800000000000005	0.404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_9	0.404	0.42800000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_19	0.0	0.0	0.427	0.352	0.352	0.313	0.313	0.313	0.313	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221
leaf_3	0.0	0.0	0.352	0.427	0.40700000000000003	0.313	0.313	0.313	0.313	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221
leaf_20	0.0	0.0	0.352	0.40700000000000003	0.427	0.313	0.313	0.313	0.313	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221
leaf_7	0.0	0.0	0.313	0.313	0.313	0.42600000000000005	0.345	0.345	0.345	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221
leaf_15	0.0	0.0	0.313	0.313	0.313	0.345	0.42700000000000005	0.42400000000000004	0.42400000000000004	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221
leaf_1	0.0	0.0	0.313	0.313	0.313	0.345	0.42400000000000004	0.42600000000000005	0.42400000000000004	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221
leaf_5	0.0	0.0	0.313	0.313	0.313	0.345	0.42400000000000004	0.42400000000000004	0.42600000000000005	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.221
leaf_14	0.0	0.0	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.42700000000000005	0.404	0.298	0.298	0.298	0.298	0.298	0.298	0.298	0.298	0.298
leaf_18	0.0	0.0	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.404	0.42700000000000005	0.298	0.298	0.298	0.298	0.298	0.298	0.298	0.298	0.298
leaf_10	0.0	0.0	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.298	0.298	0.42800000000000005	0.41500000000000004	0.41500000000000004	0.41500000000000004	0.324	0.324	0.324	0.324	0.324
leaf_2	0.0	0.0	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.298	0.298	0.41500000000000004	0.42800000000000005	0.42200000000000004	0.42200000000000004	0.324	0.324	0.324	0.324	0.324
leaf_13	0.0	0.0	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.298	0.298	0.41500000000000004	0.42200000000000004	0.42800000000000005	0.42700000000000005	0.324	0.324	0.324	0.324	0.324
leaf_17	0.0	0.0	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.298	0.298	0.41500000000000004	0.42200000000000004	0.42700000000000005	0.42800000000000005	0.324	0.324	0.324	0.324	0.324
leaf_8	0.0	0.0	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.298	0.298	0.324	0.324	0.324	0.324	0.42700000000000005	0.378	0.378	0.378	0.378
leaf_4	0.0	0.0	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.298	0.298	0.324	0.324	0.324	0.324	0.378	0.42800000000000005	0.393	0.393	0.393
leaf_11	0.0	0.0	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.298	0.298	0.324	0.324	0.324	0.324	0.378	0.393	0.42800000000000005	0.399	0.399
leaf_12	0.0	0.0	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.298	0.298	0.324	0.324	0.324	0.324	0.378	0.393	0.399	0.42800000000000005	0.406
leaf_16	0.0	0.0	0.221	0.221	0.221	0.221	0.221	0.221	0.221	0.298	0.298	0.324	0.324	0.324	0.324	0.378	0.393	0.399	0.406	0.42800000000000005
