"","leaf_1","leaf_2","leaf_3","leaf_4","leaf_5","leaf_6","leaf_7","leaf_8","leaf_9","leaf_10","leaf_11","leaf_12","leaf_13","leaf_14","leaf_15","leaf_16","leaf_17","leaf_18","leaf_19","leaf_20"
"leaf_1",0.605,0.586,0,0,0,0,0.093,0,0,0.586,0.586,0.492,0.492,0.492,0.593,0,0.586,0.093,0.586,0
"leaf_2",0.586,0.604,0,0,0,0,0.093,0,0,0.603,0.586,0.492,0.492,0.492,0.586,0,0.586,0.093,0.586,0
"leaf_3",0,0,0.605,0.26,0.484,0.484,0,0.26,0.484,0,0,0,0,0,0,0.484,0,0,0,0.26
"leaf_4",0,0,0.26,0.604,0.26,0.26,0,0.466,0.26,0,0,0,0,0,0,0.26,0,0,0,0.55
"leaf_5",0,0,0.484,0.26,0.605,0.573,0,0.26,0.555,0,0,0,0,0,0,0.538,0,0,0,0.26
"leaf_6",0,0,0.484,0.26,0.573,0.605,0,0.26,0.555,0,0,0,0,0,0,0.538,0,0,0,0.26
"leaf_7",0.093,0.093,0,0,0,0,0.605,0,0,0.093,0.093,0.093,0.093,0.093,0.093,0,0.093,0.576,0.093,0
"leaf_8",0,0,0.26,0.466,0.26,0.26,0,0.604,0.26,0,0,0,0,0,0,0.26,0,0,0,0.466
"leaf_9",0,0,0.484,0.26,0.555,0.555,0,0.26,0.605,0,0,0,0,0,0,0.538,0,0,0,0.26
"leaf_10",0.586,0.603,0,0,0,0,0.093,0,0,0.604,0.586,0.492,0.492,0.492,0.586,0,0.586,0.093,0.586,0
"leaf_11",0.586,0.586,0,0,0,0,0.093,0,0,0.586,0.604,0.492,0.492,0.492,0.586,0,0.594,0.093,0.586,0
"leaf_12",0.492,0.492,0,0,0,0,0.093,0,0,0.492,0.492,0.605,0.567,0.57,0.492,0,0.492,0.093,0.492,0
"leaf_13",0.492,0.492,0,0,0,0,0.093,0,0,0.492,0.492,0.567,0.605,0.567,0.492,0,0.492,0.093,0.492,0
"leaf_14",0.492,0.492,0,0,0,0,0.093,0,0,0.492,0.492,0.57,0.567,0.605,0.492,0,0.492,0.093,0.492,0
"leaf_15",0.593,0.586,0,0,0,0,0.093,0,0,0.586,0.586,0.492,0.492,0.492,0.605,0,0.586,0.093,0.586,0
"leaf_16",0,0,0.484,0.26,0.538,0.538,0,0.26,0.538,0,0,0,0,0,0,0.605,0,0,0,0.26
"leaf_17",0.586,0.586,0,0,0,0,0.093,0,0,0.586,0.594,0.492,0.492,0.492,0.586,0,0.604,0.093,0.586,0
"leaf_18",0.093,0.093,0,0,0,0,0.576,0,0,0.093,0.093,0.093,0.093,0.093,0.093,0,0.093,0.605,0.093,0
"leaf_19",0.586,0.586,0,0,0,0,0.093,0,0,0.586,0.586,0.492,0.492,0.492,0.586,0,0.586,0.093,0.604,0
"leaf_20",0,0,0.26,0.55,0.26,0.26,0,0.466,0.26,0,0,0,0,0,0,0.26,0,0,0,0.604
