	leaf_3	leaf_6	leaf_13	leaf_9	leaf_12	leaf_5	leaf_10	leaf_1	leaf_4	leaf_18	leaf_8	leaf_19	leaf_2	leaf_7	leaf_11	leaf_16	leaf_20	leaf_17	leaf_14	leaf_15
leaf_3	0.739	0.693	0.693	0.693	0.693	0.486	0.486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_6	0.693	0.739	0.709	0.709	0.709	0.486	0.486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_13	0.693	0.709	0.739	0.724	0.724	0.486	0.486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_9	0.693	0.709	0.724	0.74	0.739	0.486	0.486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_12	0.693	0.709	0.724	0.739	0.74	0.486	0.486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_5	0.486	0.486	0.486	0.486	0.486	0.739	0.616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_10	0.486	0.486	0.486	0.486	0.486	0.616	0.739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.739	0.554	0.554	0.554	0.554	0.554	0.554	0.148	0.148	0.148	0.148	0.148	0.148
leaf_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.554	0.7400000000000001	0.737	0.56	0.56	0.56	0.56	0.148	0.148	0.148	0.148	0.148	0.148
leaf_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.554	0.737	0.7400000000000001	0.56	0.56	0.56	0.56	0.148	0.148	0.148	0.148	0.148	0.148
leaf_8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.554	0.56	0.56	0.7400000000000001	0.7310000000000001	0.7190000000000001	0.7190000000000001	0.148	0.148	0.148	0.148	0.148	0.148
leaf_19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.554	0.56	0.56	0.7310000000000001	0.7400000000000001	0.7190000000000001	0.7190000000000001	0.148	0.148	0.148	0.148	0.148	0.148
leaf_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.554	0.56	0.56	0.7190000000000001	0.7190000000000001	0.7400000000000001	0.7200000000000001	0.148	0.148	0.148	0.148	0.148	0.148
leaf_7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.554	0.56	0.56	0.7190000000000001	0.7190000000000001	0.7200000000000001	0.7400000000000001	0.148	0.148	0.148	0.148	0.148	0.148
leaf_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.148	0.148	0.148	0.148	0.148	0.148	0.148	0.739	0.725	0.725	0.307	0.307	0.307
leaf_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.148	0.148	0.148	0.148	0.148	0.148	0.148	0.725	0.739	0.73	0.307	0.307	0.307
leaf_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.148	0.148	0.148	0.148	0.148	0.148	0.148	0.725	0.73	0.739	0.307	0.307	0.307
leaf_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.148	0.148	0.148	0.148	0.148	0.148	0.148	0.307	0.307	0.307	0.7390000000000001	0.648	0.648
leaf_14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.148	0.148	0.148	0.148	0.148	0.148	0.148	0.307	0.307	0.307	0.648	0.7380000000000001	0.7340000000000001
leaf_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.148	0.148	0.148	0.148	0.148	0.148	0.148	0.307	0.307	0.307	0.648	0.7340000000000001	0.7380000000000001
