"","leaf_1","leaf_2","leaf_3","leaf_4","leaf_5","leaf_6","leaf_7","leaf_8","leaf_9","leaf_10","leaf_11","leaf_12","leaf_13","leaf_14","leaf_15","leaf_16","leaf_17","leaf_18","leaf_19","leaf_20"
"leaf_1",1.28,0.593,0.593,0,0,0,0,0,1.191,0,0.593,1.259,0,0,1.212,0,0,1.191,1.212,0.593
"leaf_2",0.593,1.279,1.202,0,0,0,0,0,0.593,0,1.263,0.593,0,0,0.593,0,0,0.593,0.593,1.241
"leaf_3",0.593,1.202,1.279,0,0,0,0,0,0.593,0,1.202,0.593,0,0,0.593,0,0,0.593,0.593,1.202
"leaf_4",0,0,0,1.279,0.999,0.999,1.19,0.845,0,0.999,0,0,0.845,0.999,0,0.999,0.999,0,0,0
"leaf_5",0,0,0,0.999,1.28,1.208,0.999,0.845,0,1.215,0,0,0.845,1.215,0,1.208,1.154,0,0,0
"leaf_6",0,0,0,0.999,1.208,1.279,0.999,0.845,0,1.208,0,0,0.845,1.208,0,1.262,1.154,0,0,0
"leaf_7",0,0,0,1.19,0.999,0.999,1.279,0.845,0,0.999,0,0,0.845,0.999,0,0.999,0.999,0,0,0
"leaf_8",0,0,0,0.845,0.845,0.845,0.845,1.279,0,0.845,0,0,1.274,0.845,0,0.845,0.845,0,0,0
"leaf_9",1.191,0.593,0.593,0,0,0,0,0,1.279,0,0.593,1.191,0,0,1.191,0,0,1.278,1.191,0.593
"leaf_10",0,0,0,0.999,1.215,1.208,0.999,0.845,0,1.28,0,0,0.845,1.272,0,1.208,1.154,0,0,0
"leaf_11",0.593,1.263,1.202,0,0,0,0,0,0.593,0,1.279,0.593,0,0,0.593,0,0,0.593,0.593,1.241
"leaf_12",1.259,0.593,0.593,0,0,0,0,0,1.191,0,0.593,1.28,0,0,1.212,0,0,1.191,1.212,0.593
"leaf_13",0,0,0,0.845,0.845,0.845,0.845,1.274,0,0.845,0,0,1.279,0.845,0,0.845,0.845,0,0,0
"leaf_14",0,0,0,0.999,1.215,1.208,0.999,0.845,0,1.272,0,0,0.845,1.28,0,1.208,1.154,0,0,0
"leaf_15",1.212,0.593,0.593,0,0,0,0,0,1.191,0,0.593,1.212,0,0,1.279,0,0,1.191,1.214,0.593
"leaf_16",0,0,0,0.999,1.208,1.262,0.999,0.845,0,1.208,0,0,0.845,1.208,0,1.279,1.154,0,0,0
"leaf_17",0,0,0,0.999,1.154,1.154,0.999,0.845,0,1.154,0,0,0.845,1.154,0,1.154,1.279,0,0,0
"leaf_18",1.191,0.593,0.593,0,0,0,0,0,1.278,0,0.593,1.191,0,0,1.191,0,0,1.279,1.191,0.593
"leaf_19",1.212,0.593,0.593,0,0,0,0,0,1.191,0,0.593,1.212,0,0,1.214,0,0,1.191,1.279,0.593
"leaf_20",0.593,1.241,1.202,0,0,0,0,0,0.593,0,1.241,0.593,0,0,0.593,0,0,0.593,0.593,1.279
