	leaf_4	leaf_14	leaf_7	leaf_17	leaf_18	leaf_13	leaf_16	leaf_1	leaf_5	leaf_12	leaf_9	leaf_2	leaf_19	leaf_6	leaf_20	leaf_3	leaf_10	leaf_15	leaf_8	leaf_11
leaf_4	0.536	0.534	0.241	0.241	0.241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_14	0.534	0.536	0.241	0.241	0.241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_7	0.241	0.241	0.536	0.46499999999999997	0.46499999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_17	0.241	0.241	0.46499999999999997	0.536	0.515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_18	0.241	0.241	0.46499999999999997	0.515	0.536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_13	0.0	0.0	0.0	0.0	0.0	0.535	0.531	0.363	0.363	0.363	0.363	0.363	0.363	0.363	0.363	0.039	0.039	0.039	0.039	0.039
leaf_16	0.0	0.0	0.0	0.0	0.0	0.531	0.535	0.363	0.363	0.363	0.363	0.363	0.363	0.363	0.363	0.039	0.039	0.039	0.039	0.039
leaf_1	0.0	0.0	0.0	0.0	0.0	0.363	0.363	0.535	0.534	0.477	0.477	0.477	0.477	0.37	0.37	0.039	0.039	0.039	0.039	0.039
leaf_5	0.0	0.0	0.0	0.0	0.0	0.363	0.363	0.534	0.535	0.477	0.477	0.477	0.477	0.37	0.37	0.039	0.039	0.039	0.039	0.039
leaf_12	0.0	0.0	0.0	0.0	0.0	0.363	0.363	0.477	0.477	0.535	0.525	0.525	0.525	0.37	0.37	0.039	0.039	0.039	0.039	0.039
leaf_9	0.0	0.0	0.0	0.0	0.0	0.363	0.363	0.477	0.477	0.525	0.534	0.525	0.525	0.37	0.37	0.039	0.039	0.039	0.039	0.039
leaf_2	0.0	0.0	0.0	0.0	0.0	0.363	0.363	0.477	0.477	0.525	0.525	0.534	0.528	0.37	0.37	0.039	0.039	0.039	0.039	0.039
leaf_19	0.0	0.0	0.0	0.0	0.0	0.363	0.363	0.477	0.477	0.525	0.525	0.528	0.534	0.37	0.37	0.039	0.039	0.039	0.039	0.039
leaf_6	0.0	0.0	0.0	0.0	0.0	0.363	0.363	0.37	0.37	0.37	0.37	0.37	0.37	0.535	0.381	0.039	0.039	0.039	0.039	0.039
leaf_20	0.0	0.0	0.0	0.0	0.0	0.363	0.363	0.37	0.37	0.37	0.37	0.37	0.37	0.381	0.535	0.039	0.039	0.039	0.039	0.039
leaf_3	0.0	0.0	0.0	0.0	0.0	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.535	0.143	0.143	0.143	0.143
leaf_10	0.0	0.0	0.0	0.0	0.0	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.143	0.535	0.45699999999999996	0.45699999999999996	0.45699999999999996
leaf_15	0.0	0.0	0.0	0.0	0.0	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.143	0.45699999999999996	0.535	0.49999999999999994	0.49999999999999994
leaf_8	0.0	0.0	0.0	0.0	0.0	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.143	0.45699999999999996	0.49999999999999994	0.535	0.533
leaf_11	0.0	0.0	0.0	0.0	0.0	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.143	0.45699999999999996	0.49999999999999994	0.533	0.535
