"","leaf_1","leaf_2","leaf_3","leaf_4","leaf_5","leaf_6","leaf_7","leaf_8","leaf_9","leaf_10","leaf_11","leaf_12","leaf_13","leaf_14","leaf_15","leaf_16","leaf_17","leaf_18","leaf_19","leaf_20"
"leaf_1",0.895,0.691,0.787,0.691,0.86,0.787,0,0.887,0.691,0,0,0,0,0.851,0,0.691,0.787,0.691,0.691,0
"leaf_2",0.691,0.895,0.691,0.841,0.691,0.691,0,0.691,0.841,0,0,0,0,0.691,0,0.794,0.691,0.841,0.841,0
"leaf_3",0.787,0.691,0.895,0.691,0.787,0.894,0,0.787,0.691,0,0,0,0,0.787,0,0.691,0.835,0.691,0.691,0
"leaf_4",0.691,0.841,0.691,0.895,0.691,0.691,0,0.691,0.889,0,0,0,0,0.691,0,0.794,0.691,0.892,0.844,0
"leaf_5",0.86,0.691,0.787,0.691,0.895,0.787,0,0.86,0.691,0,0,0,0,0.851,0,0.691,0.787,0.691,0.691,0
"leaf_6",0.787,0.691,0.894,0.691,0.787,0.895,0,0.787,0.691,0,0,0,0,0.787,0,0.691,0.835,0.691,0.691,0
"leaf_7",0,0,0,0,0,0,0.894,0,0,0.16,0.68,0.16,0.16,0,0.862,0,0,0,0,0.68
"leaf_8",0.887,0.691,0.787,0.691,0.86,0.787,0,0.895,0.691,0,0,0,0,0.851,0,0.691,0.787,0.691,0.691,0
"leaf_9",0.691,0.841,0.691,0.889,0.691,0.691,0,0.691,0.894,0,0,0,0,0.691,0,0.794,0.691,0.889,0.844,0
"leaf_10",0,0,0,0,0,0,0.16,0,0,0.894,0.16,0.882,0.882,0,0.16,0,0,0,0,0.16
"leaf_11",0,0,0,0,0,0,0.68,0,0,0.16,0.894,0.16,0.16,0,0.68,0,0,0,0,0.814
"leaf_12",0,0,0,0,0,0,0.16,0,0,0.882,0.16,0.894,0.887,0,0.16,0,0,0,0,0.16
"leaf_13",0,0,0,0,0,0,0.16,0,0,0.882,0.16,0.887,0.894,0,0.16,0,0,0,0,0.16
"leaf_14",0.851,0.691,0.787,0.691,0.851,0.787,0,0.851,0.691,0,0,0,0,0.895,0,0.691,0.787,0.691,0.691,0
"leaf_15",0,0,0,0,0,0,0.862,0,0,0.16,0.68,0.16,0.16,0,0.894,0,0,0,0,0.68
"leaf_16",0.691,0.794,0.691,0.794,0.691,0.691,0,0.691,0.794,0,0,0,0,0.691,0,0.894,0.691,0.794,0.794,0
"leaf_17",0.787,0.691,0.835,0.691,0.787,0.835,0,0.787,0.691,0,0,0,0,0.787,0,0.691,0.895,0.691,0.691,0
"leaf_18",0.691,0.841,0.691,0.892,0.691,0.691,0,0.691,0.889,0,0,0,0,0.691,0,0.794,0.691,0.895,0.844,0
"leaf_19",0.691,0.841,0.691,0.844,0.691,0.691,0,0.691,0.844,0,0,0,0,0.691,0,0.794,0.691,0.844,0.894,0
"leaf_20",0,0,0,0,0,0,0.68,0,0,0.16,0.814,0.16,0.16,0,0.68,0,0,0,0,0.894
