"","leaf_1","leaf_2","leaf_3","leaf_4","leaf_5","leaf_6","leaf_7","leaf_8","leaf_9","leaf_10","leaf_11","leaf_12","leaf_13","leaf_14","leaf_15","leaf_16","leaf_17","leaf_18","leaf_19","leaf_20"
"leaf_1",0.548,0.292,0.444,0.292,0.546,0.292,0,0.432,0.444,0.432,0.292,0.432,0.292,0.444,0.432,0.444,0.432,0.292,0.292,0
"leaf_2",0.292,0.548,0.292,0.464,0.292,0.4,0,0.292,0.292,0.292,0.547,0.292,0.515,0.292,0.292,0.292,0.292,0.504,0.464,0
"leaf_3",0.444,0.292,0.548,0.292,0.444,0.292,0,0.432,0.544,0.432,0.292,0.432,0.292,0.498,0.432,0.544,0.432,0.292,0.292,0
"leaf_4",0.292,0.464,0.292,0.547,0.292,0.4,0,0.292,0.292,0.292,0.464,0.292,0.464,0.292,0.292,0.292,0.292,0.464,0.524,0
"leaf_5",0.546,0.292,0.444,0.292,0.548,0.292,0,0.432,0.444,0.432,0.292,0.432,0.292,0.444,0.432,0.444,0.432,0.292,0.292,0
"leaf_6",0.292,0.4,0.292,0.4,0.292,0.547,0,0.292,0.292,0.292,0.4,0.292,0.4,0.292,0.292,0.292,0.292,0.4,0.4,0
"leaf_7",0,0,0,0,0,0,0.548,0,0,0,0,0,0,0,0,0,0,0,0,0.485
"leaf_8",0.432,0.292,0.432,0.292,0.432,0.292,0,0.548,0.432,0.445,0.292,0.445,0.292,0.432,0.445,0.432,0.445,0.292,0.292,0
"leaf_9",0.444,0.292,0.544,0.292,0.444,0.292,0,0.432,0.549,0.432,0.292,0.432,0.292,0.498,0.432,0.548,0.432,0.292,0.292,0
"leaf_10",0.432,0.292,0.432,0.292,0.432,0.292,0,0.445,0.432,0.547,0.292,0.546,0.292,0.432,0.451,0.432,0.451,0.292,0.292,0
"leaf_11",0.292,0.547,0.292,0.464,0.292,0.4,0,0.292,0.292,0.292,0.548,0.292,0.515,0.292,0.292,0.292,0.292,0.504,0.464,0
"leaf_12",0.432,0.292,0.432,0.292,0.432,0.292,0,0.445,0.432,0.546,0.292,0.547,0.292,0.432,0.451,0.432,0.451,0.292,0.292,0
"leaf_13",0.292,0.515,0.292,0.464,0.292,0.4,0,0.292,0.292,0.292,0.515,0.292,0.548,0.292,0.292,0.292,0.292,0.504,0.464,0
"leaf_14",0.444,0.292,0.498,0.292,0.444,0.292,0,0.432,0.498,0.432,0.292,0.432,0.292,0.548,0.432,0.498,0.432,0.292,0.292,0
"leaf_15",0.432,0.292,0.432,0.292,0.432,0.292,0,0.445,0.432,0.451,0.292,0.451,0.292,0.432,0.548,0.432,0.546,0.292,0.292,0
"leaf_16",0.444,0.292,0.544,0.292,0.444,0.292,0,0.432,0.548,0.432,0.292,0.432,0.292,0.498,0.432,0.549,0.432,0.292,0.292,0
"leaf_17",0.432,0.292,0.432,0.292,0.432,0.292,0,0.445,0.432,0.451,0.292,0.451,0.292,0.432,0.546,0.432,0.548,0.292,0.292,0
"leaf_18",0.292,0.504,0.292,0.464,0.292,0.4,0,0.292,0.292,0.292,0.504,0.292,0.504,0.292,0.292,0.292,0.292,0.548,0.464,0
"leaf_19",0.292,0.464,0.292,0.524,0.292,0.4,0,0.292,0.292,0.292,0.464,0.292,0.464,0.292,0.292,0.292,0.292,0.464,0.547,0
"leaf_20",0,0,0,0,0,0,0.485,0,0,0,0,0,0,0,0,0,0,0,0,0.548
