"","leaf_1","leaf_2","leaf_3","leaf_4","leaf_5","leaf_6","leaf_7","leaf_8","leaf_9","leaf_10","leaf_11","leaf_12","leaf_13","leaf_14","leaf_15","leaf_16","leaf_17","leaf_18","leaf_19","leaf_20"
"leaf_1",0.883,0.774,0.753,0,0,0.165,0,0,0.165,0,0,0,0.753,0.165,0,0.673,0,0.165,0.673,0.774
"leaf_2",0.774,0.883,0.753,0,0,0.165,0,0,0.165,0,0,0,0.753,0.165,0,0.673,0,0.165,0.673,0.868
"leaf_3",0.753,0.753,0.883,0,0,0.165,0,0,0.165,0,0,0,0.868,0.165,0,0.673,0,0.165,0.673,0.753
"leaf_4",0,0,0,0.883,0.375,0,0.699,0.375,0,0.699,0.699,0.375,0,0,0.375,0,0.375,0,0,0
"leaf_5",0,0,0,0.375,0.883,0,0.375,0.711,0,0.375,0.375,0.825,0,0,0.825,0,0.825,0,0,0
"leaf_6",0.165,0.165,0.165,0,0,0.882,0,0,0.872,0,0,0,0.165,0.88,0,0.165,0,0.545,0.165,0.165
"leaf_7",0,0,0,0.699,0.375,0,0.883,0.375,0,0.847,0.882,0.375,0,0,0.375,0,0.375,0,0,0
"leaf_8",0,0,0,0.375,0.711,0,0.375,0.883,0,0.375,0.375,0.711,0,0,0.711,0,0.711,0,0,0
"leaf_9",0.165,0.165,0.165,0,0,0.872,0,0,0.883,0,0,0,0.165,0.872,0,0.165,0,0.545,0.165,0.165
"leaf_10",0,0,0,0.699,0.375,0,0.847,0.375,0,0.883,0.847,0.375,0,0,0.375,0,0.375,0,0,0
"leaf_11",0,0,0,0.699,0.375,0,0.882,0.375,0,0.847,0.883,0.375,0,0,0.375,0,0.375,0,0,0
"leaf_12",0,0,0,0.375,0.825,0,0.375,0.711,0,0.375,0.375,0.883,0,0,0.853,0,0.854,0,0,0
"leaf_13",0.753,0.753,0.868,0,0,0.165,0,0,0.165,0,0,0,0.883,0.165,0,0.673,0,0.165,0.673,0.753
"leaf_14",0.165,0.165,0.165,0,0,0.88,0,0,0.872,0,0,0,0.165,0.882,0,0.165,0,0.545,0.165,0.165
"leaf_15",0,0,0,0.375,0.825,0,0.375,0.711,0,0.375,0.375,0.853,0,0,0.883,0,0.853,0,0,0
"leaf_16",0.673,0.673,0.673,0,0,0.165,0,0,0.165,0,0,0,0.673,0.165,0,0.883,0,0.165,0.866,0.673
"leaf_17",0,0,0,0.375,0.825,0,0.375,0.711,0,0.375,0.375,0.854,0,0,0.853,0,0.883,0,0,0
"leaf_18",0.165,0.165,0.165,0,0,0.545,0,0,0.545,0,0,0,0.165,0.545,0,0.165,0,0.883,0.165,0.165
"leaf_19",0.673,0.673,0.673,0,0,0.165,0,0,0.165,0,0,0,0.673,0.165,0,0.866,0,0.165,0.883,0.673
"leaf_20",0.774,0.868,0.753,0,0,0.165,0,0,0.165,0,0,0,0.753,0.165,0,0.673,0,0.165,0.673,0.883
