"","leaf_1","leaf_2","leaf_3","leaf_4","leaf_5","leaf_6","leaf_7","leaf_8","leaf_9","leaf_10","leaf_11","leaf_12","leaf_13","leaf_14","leaf_15","leaf_16","leaf_17","leaf_18","leaf_19","leaf_20"
"leaf_1",0.907,0.568,0.893,0,0.568,0.893,0.568,0.887,0.8,0.568,0.568,0.568,0.568,0,0.568,0.8,0.723,0,0,0
"leaf_2",0.568,0.909,0.568,0,0.838,0.568,0.684,0.568,0.568,0.684,0.906,0.684,0.882,0,0.684,0.568,0.568,0,0,0
"leaf_3",0.893,0.568,0.907,0,0.568,0.902,0.568,0.887,0.8,0.568,0.568,0.568,0.568,0,0.568,0.8,0.723,0,0,0
"leaf_4",0,0,0,0.907,0,0,0,0,0,0,0,0,0,0.866,0,0,0,0.901,0.626,0.866
"leaf_5",0.568,0.838,0.568,0,0.908,0.568,0.684,0.568,0.568,0.684,0.838,0.684,0.838,0,0.684,0.568,0.568,0,0,0
"leaf_6",0.893,0.568,0.902,0,0.568,0.907,0.568,0.887,0.8,0.568,0.568,0.568,0.568,0,0.568,0.8,0.723,0,0,0
"leaf_7",0.568,0.684,0.568,0,0.684,0.568,0.908,0.568,0.568,0.846,0.684,0.846,0.684,0,0.893,0.568,0.568,0,0,0
"leaf_8",0.887,0.568,0.887,0,0.568,0.887,0.568,0.907,0.8,0.568,0.568,0.568,0.568,0,0.568,0.8,0.723,0,0,0
"leaf_9",0.8,0.568,0.8,0,0.568,0.8,0.568,0.8,0.907,0.568,0.568,0.568,0.568,0,0.568,0.906,0.723,0,0,0
"leaf_10",0.568,0.684,0.568,0,0.684,0.568,0.846,0.568,0.568,0.908,0.684,0.903,0.684,0,0.846,0.568,0.568,0,0,0
"leaf_11",0.568,0.906,0.568,0,0.838,0.568,0.684,0.568,0.568,0.684,0.909,0.684,0.882,0,0.684,0.568,0.568,0,0,0
"leaf_12",0.568,0.684,0.568,0,0.684,0.568,0.846,0.568,0.568,0.903,0.684,0.908,0.684,0,0.846,0.568,0.568,0,0,0
"leaf_13",0.568,0.882,0.568,0,0.838,0.568,0.684,0.568,0.568,0.684,0.882,0.684,0.908,0,0.684,0.568,0.568,0,0,0
"leaf_14",0,0,0,0.866,0,0,0,0,0,0,0,0,0,0.907,0,0,0,0.866,0.626,0.884
"leaf_15",0.568,0.684,0.568,0,0.684,0.568,0.893,0.568,0.568,0.846,0.684,0.846,0.684,0,0.908,0.568,0.568,0,0,0
"leaf_16",0.8,0.568,0.8,0,0.568,0.8,0.568,0.8,0.906,0.568,0.568,0.568,0.568,0,0.568,0.907,0.723,0,0,0
"leaf_17",0.723,0.568,0.723,0,0.568,0.723,0.568,0.723,0.723,0.568,0.568,0.568,0.568,0,0.568,0.723,0.907,0,0,0
"leaf_18",0,0,0,0.901,0,0,0,0,0,0,0,0,0,0.866,0,0,0,0.907,0.626,0.866
"leaf_19",0,0,0,0.626,0,0,0,0,0,0,0,0,0,0.626,0,0,0,0.626,0.907,0.626
"leaf_20",0,0,0,0.866,0,0,0,0,0,0,0,0,0,0.884,0,0,0,0.866,0.626,0.907
