	leaf_1	leaf_6	leaf_10	leaf_9	leaf_17	leaf_4	leaf_16	leaf_2	leaf_20	leaf_11	leaf_14	leaf_19	leaf_7	leaf_15	leaf_8	leaf_12	leaf_5	leaf_13	leaf_3	leaf_18
leaf_1	0.821	0.785	0.626	0.626	0.626	0.626	0.626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_6	0.785	0.821	0.626	0.626	0.626	0.626	0.626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_10	0.626	0.626	0.8200000000000001	0.656	0.656	0.656	0.656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_9	0.626	0.626	0.656	0.819	0.704	0.659	0.659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_17	0.626	0.626	0.656	0.704	0.819	0.659	0.659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_4	0.626	0.626	0.656	0.659	0.659	0.8200000000000001	0.671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_16	0.626	0.626	0.656	0.659	0.659	0.671	0.8200000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.821	0.82	0.596	0.596	0.596	0.596	0.596	0.596	0.596	0.596	0.596	0.596	0.596
leaf_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.821	0.596	0.596	0.596	0.596	0.596	0.596	0.596	0.596	0.596	0.596	0.596
leaf_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.596	0.596	0.821	0.818	0.708	0.708	0.708	0.63	0.63	0.63	0.63	0.63	0.63
leaf_14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.596	0.596	0.818	0.821	0.708	0.708	0.708	0.63	0.63	0.63	0.63	0.63	0.63
leaf_19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.596	0.596	0.708	0.708	0.821	0.776	0.776	0.63	0.63	0.63	0.63	0.63	0.63
leaf_7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.596	0.596	0.708	0.708	0.776	0.821	0.78	0.63	0.63	0.63	0.63	0.63	0.63
leaf_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.596	0.596	0.708	0.708	0.776	0.78	0.821	0.63	0.63	0.63	0.63	0.63	0.63
leaf_8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.596	0.596	0.63	0.63	0.63	0.63	0.63	0.821	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999
leaf_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.596	0.596	0.63	0.63	0.63	0.63	0.63	0.6599999999999999	0.822	0.816	0.816	0.776	0.776
leaf_5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.596	0.596	0.63	0.63	0.63	0.63	0.63	0.6599999999999999	0.816	0.822	0.817	0.776	0.776
leaf_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.596	0.596	0.63	0.63	0.63	0.63	0.63	0.6599999999999999	0.816	0.817	0.822	0.776	0.776
leaf_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.596	0.596	0.63	0.63	0.63	0.63	0.63	0.6599999999999999	0.776	0.776	0.776	0.821	0.7909999999999999
leaf_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.596	0.596	0.63	0.63	0.63	0.63	0.63	0.6599999999999999	0.776	0.776	0.776	0.7909999999999999	0.821
