"","leaf_1","leaf_2","leaf_3","leaf_4","leaf_5","leaf_6","leaf_7","leaf_8","leaf_9","leaf_10","leaf_11","leaf_12","leaf_13","leaf_14","leaf_15","leaf_16","leaf_17","leaf_18","leaf_19","leaf_20"
"leaf_1",0.681,0,0,0,0.58,0,0,0,0,0.629,0,0.671,0,0,0,0,0,0,0,0
"leaf_2",0,0.68,0.507,0.242,0,0.242,0.242,0.507,0.242,0,0.242,0,0.507,0.242,0.507,0.242,0.242,0.507,0.242,0.242
"leaf_3",0,0.507,0.681,0.242,0,0.242,0.242,0.605,0.242,0,0.242,0,0.68,0.242,0.605,0.242,0.242,0.605,0.242,0.242
"leaf_4",0,0.242,0.242,0.679,0,0.592,0.633,0.242,0.665,0,0.5,0,0.242,0.486,0.242,0.472,0.486,0.242,0.592,0.5
"leaf_5",0.58,0,0,0,0.681,0,0,0,0,0.58,0,0.58,0,0,0,0,0,0,0,0
"leaf_6",0,0.242,0.242,0.592,0,0.679,0.592,0.242,0.592,0,0.5,0,0.242,0.486,0.242,0.472,0.486,0.242,0.63,0.5
"leaf_7",0,0.242,0.242,0.633,0,0.592,0.679,0.242,0.633,0,0.5,0,0.242,0.486,0.242,0.472,0.486,0.242,0.592,0.5
"leaf_8",0,0.507,0.605,0.242,0,0.242,0.242,0.68,0.242,0,0.242,0,0.605,0.242,0.65,0.242,0.242,0.615,0.242,0.242
"leaf_9",0,0.242,0.242,0.665,0,0.592,0.633,0.242,0.679,0,0.5,0,0.242,0.486,0.242,0.472,0.486,0.242,0.592,0.5
"leaf_10",0.629,0,0,0,0.58,0,0,0,0,0.681,0,0.629,0,0,0,0,0,0,0,0
"leaf_11",0,0.242,0.242,0.5,0,0.5,0.5,0.242,0.5,0,0.68,0,0.242,0.486,0.242,0.472,0.486,0.242,0.5,0.611
"leaf_12",0.671,0,0,0,0.58,0,0,0,0,0.629,0,0.681,0,0,0,0,0,0,0,0
"leaf_13",0,0.507,0.68,0.242,0,0.242,0.242,0.605,0.242,0,0.242,0,0.681,0.242,0.605,0.242,0.242,0.605,0.242,0.242
"leaf_14",0,0.242,0.242,0.486,0,0.486,0.486,0.242,0.486,0,0.486,0,0.242,0.68,0.242,0.472,0.607,0.242,0.486,0.486
"leaf_15",0,0.507,0.605,0.242,0,0.242,0.242,0.65,0.242,0,0.242,0,0.605,0.242,0.68,0.242,0.242,0.615,0.242,0.242
"leaf_16",0,0.242,0.242,0.472,0,0.472,0.472,0.242,0.472,0,0.472,0,0.242,0.472,0.242,0.68,0.472,0.242,0.472,0.472
"leaf_17",0,0.242,0.242,0.486,0,0.486,0.486,0.242,0.486,0,0.486,0,0.242,0.607,0.242,0.472,0.68,0.242,0.486,0.486
"leaf_18",0,0.507,0.605,0.242,0,0.242,0.242,0.615,0.242,0,0.242,0,0.605,0.242,0.615,0.242,0.242,0.68,0.242,0.242
"leaf_19",0,0.242,0.242,0.592,0,0.63,0.592,0.242,0.592,0,0.5,0,0.242,0.486,0.242,0.472,0.486,0.242,0.679,0.5
"leaf_20",0,0.242,0.242,0.5,0,0.5,0.5,0.242,0.5,0,0.611,0,0.242,0.486,0.242,0.472,0.486,0.242,0.5,0.68
