	leaf_3	leaf_17	leaf_8	leaf_5	leaf_9	leaf_20	leaf_11	leaf_1	leaf_18	leaf_13	leaf_19	leaf_12	leaf_6	leaf_16	leaf_7	leaf_15	leaf_10	leaf_14	leaf_2	leaf_4
leaf_3	1.8010000000000002	1.8	1.622	1.622	1.622	1.622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_17	1.8	1.8010000000000002	1.622	1.622	1.622	1.622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_8	1.622	1.622	1.8	1.7560000000000002	1.7560000000000002	1.7560000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_5	1.622	1.622	1.7560000000000002	1.8	1.778	1.778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_9	1.622	1.622	1.7560000000000002	1.778	1.8	1.7970000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_20	1.622	1.622	1.7560000000000002	1.778	1.7970000000000002	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_11	0.0	0.0	0.0	0.0	0.0	0.0	1.8010000000000002	1.689	1.689	1.29	1.29	1.29	1.29	1.29	1.29	1.29	1.29	1.29	1.29	1.29
leaf_1	0.0	0.0	0.0	0.0	0.0	0.0	1.689	1.8010000000000002	1.745	1.29	1.29	1.29	1.29	1.29	1.29	1.29	1.29	1.29	1.29	1.29
leaf_18	0.0	0.0	0.0	0.0	0.0	0.0	1.689	1.745	1.8010000000000002	1.29	1.29	1.29	1.29	1.29	1.29	1.29	1.29	1.29	1.29	1.29
leaf_13	0.0	0.0	0.0	0.0	0.0	0.0	1.29	1.29	1.29	1.8010000000000002	1.8	1.5350000000000001	1.5350000000000001	1.5350000000000001	1.5350000000000001	1.5350000000000001	1.5350000000000001	1.5350000000000001	1.5350000000000001	1.5350000000000001
leaf_19	0.0	0.0	0.0	0.0	0.0	0.0	1.29	1.29	1.29	1.8	1.8010000000000002	1.5350000000000001	1.5350000000000001	1.5350000000000001	1.5350000000000001	1.5350000000000001	1.5350000000000001	1.5350000000000001	1.5350000000000001	1.5350000000000001
leaf_12	0.0	0.0	0.0	0.0	0.0	0.0	1.29	1.29	1.29	1.5350000000000001	1.5350000000000001	1.8010000000000002	1.6960000000000002	1.6960000000000002	1.6960000000000002	1.6960000000000002	1.6960000000000002	1.6960000000000002	1.614	1.614
leaf_6	0.0	0.0	0.0	0.0	0.0	0.0	1.29	1.29	1.29	1.5350000000000001	1.5350000000000001	1.6960000000000002	1.8010000000000002	1.792	1.754	1.754	1.754	1.754	1.614	1.614
leaf_16	0.0	0.0	0.0	0.0	0.0	0.0	1.29	1.29	1.29	1.5350000000000001	1.5350000000000001	1.6960000000000002	1.792	1.8010000000000002	1.754	1.754	1.754	1.754	1.614	1.614
leaf_7	0.0	0.0	0.0	0.0	0.0	0.0	1.29	1.29	1.29	1.5350000000000001	1.5350000000000001	1.6960000000000002	1.754	1.754	1.8010000000000002	1.796	1.7690000000000001	1.7690000000000001	1.614	1.614
leaf_15	0.0	0.0	0.0	0.0	0.0	0.0	1.29	1.29	1.29	1.5350000000000001	1.5350000000000001	1.6960000000000002	1.754	1.754	1.796	1.8010000000000002	1.7690000000000001	1.7690000000000001	1.614	1.614
leaf_10	0.0	0.0	0.0	0.0	0.0	0.0	1.29	1.29	1.29	1.5350000000000001	1.5350000000000001	1.6960000000000002	1.754	1.754	1.7690000000000001	1.7690000000000001	1.8010000000000002	1.778	1.614	1.614
leaf_14	0.0	0.0	0.0	0.0	0.0	0.0	1.29	1.29	1.29	1.5350000000000001	1.5350000000000001	1.6960000000000002	1.754	1.754	1.7690000000000001	1.7690000000000001	1.778	1.8010000000000002	1.614	1.614
leaf_2	0.0	0.0	0.0	0.0	0.0	0.0	1.29	1.29	1.29	1.5350000000000001	1.5350000000000001	1.614	1.614	1.614	1.614	1.614	1.614	1.614	1.8010000000000002	1.614
leaf_4	0.0	0.0	0.0	0.0	0.0	0.0	1.29	1.29	1.29	1.5350000000000001	1.5350000000000001	1.614	1.614	1.614	1.614	1.614	1.614	1.614	1.614	1.8010000000000002
