"","leaf_1","leaf_2","leaf_3","leaf_4","leaf_5","leaf_6","leaf_7","leaf_8","leaf_9","leaf_10","leaf_11","leaf_12","leaf_13","leaf_14","leaf_15","leaf_16","leaf_17","leaf_18","leaf_19","leaf_20"
"leaf_1",0.881,0,0.231,0.231,0,0.231,0.231,0.231,0,0.231,0,0,0.231,0,0,0.231,0.231,0.231,0,0
"leaf_2",0,0.881,0,0,0.876,0,0,0,0.35,0,0.851,0.851,0,0.35,0.851,0,0,0,0.849,0.35
"leaf_3",0.231,0,0.88,0.801,0,0.867,0.874,0.829,0,0.867,0,0,0.536,0,0,0.829,0.867,0.867,0,0
"leaf_4",0.231,0,0.801,0.881,0,0.801,0.801,0.801,0,0.801,0,0,0.536,0,0,0.801,0.801,0.801,0,0
"leaf_5",0,0.876,0,0,0.881,0,0,0,0.35,0,0.851,0.851,0,0.35,0.851,0,0,0,0.849,0.35
"leaf_6",0.231,0,0.867,0.801,0,0.879,0.867,0.829,0,0.867,0,0,0.536,0,0,0.829,0.87,0.878,0,0
"leaf_7",0.231,0,0.874,0.801,0,0.867,0.88,0.829,0,0.867,0,0,0.536,0,0,0.829,0.867,0.867,0,0
"leaf_8",0.231,0,0.829,0.801,0,0.829,0.829,0.88,0,0.829,0,0,0.536,0,0,0.855,0.829,0.829,0,0
"leaf_9",0,0.35,0,0,0.35,0,0,0,0.88,0,0.35,0.35,0,0.71,0.35,0,0,0,0.35,0.464
"leaf_10",0.231,0,0.867,0.801,0,0.867,0.867,0.829,0,0.88,0,0,0.536,0,0,0.829,0.867,0.867,0,0
"leaf_11",0,0.851,0,0,0.851,0,0,0,0.35,0,0.88,0.854,0,0.35,0.879,0,0,0,0.849,0.35
"leaf_12",0,0.851,0,0,0.851,0,0,0,0.35,0,0.854,0.88,0,0.35,0.854,0,0,0,0.849,0.35
"leaf_13",0.231,0,0.536,0.536,0,0.536,0.536,0.536,0,0.536,0,0,0.881,0,0,0.536,0.536,0.536,0,0
"leaf_14",0,0.35,0,0,0.35,0,0,0,0.71,0,0.35,0.35,0,0.88,0.35,0,0,0,0.35,0.464
"leaf_15",0,0.851,0,0,0.851,0,0,0,0.35,0,0.879,0.854,0,0.35,0.88,0,0,0,0.849,0.35
"leaf_16",0.231,0,0.829,0.801,0,0.829,0.829,0.855,0,0.829,0,0,0.536,0,0,0.88,0.829,0.829,0,0
"leaf_17",0.231,0,0.867,0.801,0,0.87,0.867,0.829,0,0.867,0,0,0.536,0,0,0.829,0.88,0.87,0,0
"leaf_18",0.231,0,0.867,0.801,0,0.878,0.867,0.829,0,0.867,0,0,0.536,0,0,0.829,0.87,0.879,0,0
"leaf_19",0,0.849,0,0,0.849,0,0,0,0.35,0,0.849,0.849,0,0.35,0.849,0,0,0,0.881,0.35
"leaf_20",0,0.35,0,0,0.35,0,0,0,0.464,0,0.35,0.35,0,0.464,0.35,0,0,0,0.35,0.881
