"","leaf_1","leaf_2","leaf_3","leaf_4","leaf_5","leaf_6","leaf_7","leaf_8","leaf_9","leaf_10","leaf_11","leaf_12","leaf_13","leaf_14","leaf_15","leaf_16","leaf_17","leaf_18","leaf_19","leaf_20"
"leaf_1",0.596,0.357,0,0.357,0.357,0,0,0,0.357,0,0.357,0.357,0.357,0.357,0,0,0.357,0.357,0,0
"leaf_2",0.357,0.596,0,0.413,0.413,0,0,0,0.507,0,0.544,0.413,0.413,0.413,0,0,0.507,0.507,0,0
"leaf_3",0,0,0.596,0,0,0.209,0.398,0.209,0,0.58,0,0,0,0,0.58,0.209,0,0,0.209,0.398
"leaf_4",0.357,0.413,0,0.596,0.564,0,0,0,0.413,0,0.413,0.564,0.564,0.564,0,0,0.413,0.413,0,0
"leaf_5",0.357,0.413,0,0.564,0.596,0,0,0,0.413,0,0.413,0.58,0.591,0.591,0,0,0.413,0.413,0,0
"leaf_6",0,0,0.209,0,0,0.596,0.209,0.591,0,0.209,0,0,0,0,0.209,0.547,0,0,0.547,0.209
"leaf_7",0,0,0.398,0,0,0.209,0.596,0.209,0,0.398,0,0,0,0,0.398,0.209,0,0,0.209,0.545
"leaf_8",0,0,0.209,0,0,0.591,0.209,0.596,0,0.209,0,0,0,0,0.209,0.547,0,0,0.547,0.209
"leaf_9",0.357,0.507,0,0.413,0.413,0,0,0,0.597,0,0.507,0.413,0.413,0.413,0,0,0.582,0.579,0,0
"leaf_10",0,0,0.58,0,0,0.209,0.398,0.209,0,0.596,0,0,0,0,0.595,0.209,0,0,0.209,0.398
"leaf_11",0.357,0.544,0,0.413,0.413,0,0,0,0.507,0,0.596,0.413,0.413,0.413,0,0,0.507,0.507,0,0
"leaf_12",0.357,0.413,0,0.564,0.58,0,0,0,0.413,0,0.413,0.596,0.58,0.58,0,0,0.413,0.413,0,0
"leaf_13",0.357,0.413,0,0.564,0.591,0,0,0,0.413,0,0.413,0.58,0.596,0.594,0,0,0.413,0.413,0,0
"leaf_14",0.357,0.413,0,0.564,0.591,0,0,0,0.413,0,0.413,0.58,0.594,0.596,0,0,0.413,0.413,0,0
"leaf_15",0,0,0.58,0,0,0.209,0.398,0.209,0,0.595,0,0,0,0,0.596,0.209,0,0,0.209,0.398
"leaf_16",0,0,0.209,0,0,0.547,0.209,0.547,0,0.209,0,0,0,0,0.209,0.596,0,0,0.575,0.209
"leaf_17",0.357,0.507,0,0.413,0.413,0,0,0,0.582,0,0.507,0.413,0.413,0.413,0,0,0.597,0.579,0,0
"leaf_18",0.357,0.507,0,0.413,0.413,0,0,0,0.579,0,0.507,0.413,0.413,0.413,0,0,0.579,0.596,0,0
"leaf_19",0,0,0.209,0,0,0.547,0.209,0.547,0,0.209,0,0,0,0,0.209,0.575,0,0,0.596,0.209
"leaf_20",0,0,0.398,0,0,0.209,0.545,0.209,0,0.398,0,0,0,0,0.398,0.209,0,0,0.209,0.596
