"","leaf_1","leaf_2","leaf_3","leaf_4","leaf_5","leaf_6","leaf_7","leaf_8","leaf_9","leaf_10","leaf_11","leaf_12","leaf_13","leaf_14","leaf_15","leaf_16","leaf_17","leaf_18","leaf_19","leaf_20"
"leaf_1",0.436,0.14,0.404,0.354,0.269,0.14,0.269,0.198,0.14,0.269,0.14,0.404,0.14,0,0.269,0.14,0.354,0.404,0.14,0.198
"leaf_2",0.14,0.436,0.14,0.14,0.14,0.423,0.14,0.14,0.395,0.14,0.384,0.14,0.39,0,0.14,0.384,0.14,0.14,0.395,0.14
"leaf_3",0.404,0.14,0.436,0.354,0.269,0.14,0.269,0.198,0.14,0.269,0.14,0.435,0.14,0,0.269,0.14,0.354,0.431,0.14,0.198
"leaf_4",0.354,0.14,0.354,0.436,0.269,0.14,0.269,0.198,0.14,0.269,0.14,0.354,0.14,0,0.269,0.14,0.403,0.354,0.14,0.198
"leaf_5",0.269,0.14,0.269,0.269,0.436,0.14,0.328,0.198,0.14,0.397,0.14,0.269,0.14,0,0.328,0.14,0.269,0.269,0.14,0.198
"leaf_6",0.14,0.423,0.14,0.14,0.14,0.436,0.14,0.14,0.395,0.14,0.384,0.14,0.39,0,0.14,0.384,0.14,0.14,0.395,0.14
"leaf_7",0.269,0.14,0.269,0.269,0.328,0.14,0.436,0.198,0.14,0.328,0.14,0.269,0.14,0,0.42,0.14,0.269,0.269,0.14,0.198
"leaf_8",0.198,0.14,0.198,0.198,0.198,0.14,0.198,0.436,0.14,0.198,0.14,0.198,0.14,0,0.198,0.14,0.198,0.198,0.14,0.366
"leaf_9",0.14,0.395,0.14,0.14,0.14,0.395,0.14,0.14,0.437,0.14,0.384,0.14,0.39,0,0.14,0.384,0.14,0.14,0.427,0.14
"leaf_10",0.269,0.14,0.269,0.269,0.397,0.14,0.328,0.198,0.14,0.436,0.14,0.269,0.14,0,0.328,0.14,0.269,0.269,0.14,0.198
"leaf_11",0.14,0.384,0.14,0.14,0.14,0.384,0.14,0.14,0.384,0.14,0.437,0.14,0.384,0,0.14,0.413,0.14,0.14,0.384,0.14
"leaf_12",0.404,0.14,0.435,0.354,0.269,0.14,0.269,0.198,0.14,0.269,0.14,0.436,0.14,0,0.269,0.14,0.354,0.431,0.14,0.198
"leaf_13",0.14,0.39,0.14,0.14,0.14,0.39,0.14,0.14,0.39,0.14,0.384,0.14,0.436,0,0.14,0.384,0.14,0.14,0.39,0.14
"leaf_14",0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0,0,0,0,0,0
"leaf_15",0.269,0.14,0.269,0.269,0.328,0.14,0.42,0.198,0.14,0.328,0.14,0.269,0.14,0,0.436,0.14,0.269,0.269,0.14,0.198
"leaf_16",0.14,0.384,0.14,0.14,0.14,0.384,0.14,0.14,0.384,0.14,0.413,0.14,0.384,0,0.14,0.437,0.14,0.14,0.384,0.14
"leaf_17",0.354,0.14,0.354,0.403,0.269,0.14,0.269,0.198,0.14,0.269,0.14,0.354,0.14,0,0.269,0.14,0.436,0.354,0.14,0.198
"leaf_18",0.404,0.14,0.431,0.354,0.269,0.14,0.269,0.198,0.14,0.269,0.14,0.431,0.14,0,0.269,0.14,0.354,0.436,0.14,0.198
"leaf_19",0.14,0.395,0.14,0.14,0.14,0.395,0.14,0.14,0.427,0.14,0.384,0.14,0.39,0,0.14,0.384,0.14,0.14,0.437,0.14
"leaf_20",0.198,0.14,0.198,0.198,0.198,0.14,0.198,0.366,0.14,0.198,0.14,0.198,0.14,0,0.198,0.14,0.198,0.198,0.14,0.436
