	leaf_4	leaf_17	leaf_10	leaf_18	leaf_7	leaf_16	leaf_11	leaf_2	leaf_6	leaf_3	leaf_19	leaf_9	leaf_5	leaf_15	leaf_20	leaf_1	leaf_13	leaf_14	leaf_8	leaf_12
leaf_4	0.504	0.465	0.465	0.465	0.383	0.383	0.383	0.383	0.383	0.271	0.271	0.271	0.271	0.271	0.0	0.0	0.0	0.0	0.0	0.0
leaf_17	0.465	0.504	0.49000000000000005	0.49000000000000005	0.383	0.383	0.383	0.383	0.383	0.271	0.271	0.271	0.271	0.271	0.0	0.0	0.0	0.0	0.0	0.0
leaf_10	0.465	0.49000000000000005	0.504	0.503	0.383	0.383	0.383	0.383	0.383	0.271	0.271	0.271	0.271	0.271	0.0	0.0	0.0	0.0	0.0	0.0
leaf_18	0.465	0.49000000000000005	0.503	0.504	0.383	0.383	0.383	0.383	0.383	0.271	0.271	0.271	0.271	0.271	0.0	0.0	0.0	0.0	0.0	0.0
leaf_7	0.383	0.383	0.383	0.383	0.504	0.48200000000000004	0.44100000000000006	0.44100000000000006	0.44100000000000006	0.271	0.271	0.271	0.271	0.271	0.0	0.0	0.0	0.0	0.0	0.0
leaf_16	0.383	0.383	0.383	0.383	0.48200000000000004	0.504	0.44100000000000006	0.44100000000000006	0.44100000000000006	0.271	0.271	0.271	0.271	0.271	0.0	0.0	0.0	0.0	0.0	0.0
leaf_11	0.383	0.383	0.383	0.383	0.44100000000000006	0.44100000000000006	0.504	0.461	0.461	0.271	0.271	0.271	0.271	0.271	0.0	0.0	0.0	0.0	0.0	0.0
leaf_2	0.383	0.383	0.383	0.383	0.44100000000000006	0.44100000000000006	0.461	0.503	0.49400000000000005	0.271	0.271	0.271	0.271	0.271	0.0	0.0	0.0	0.0	0.0	0.0
leaf_6	0.383	0.383	0.383	0.383	0.44100000000000006	0.44100000000000006	0.461	0.49400000000000005	0.503	0.271	0.271	0.271	0.271	0.271	0.0	0.0	0.0	0.0	0.0	0.0
leaf_3	0.271	0.271	0.271	0.271	0.271	0.271	0.271	0.271	0.271	0.504	0.453	0.36	0.36	0.36	0.0	0.0	0.0	0.0	0.0	0.0
leaf_19	0.271	0.271	0.271	0.271	0.271	0.271	0.271	0.271	0.271	0.453	0.504	0.36	0.36	0.36	0.0	0.0	0.0	0.0	0.0	0.0
leaf_9	0.271	0.271	0.271	0.271	0.271	0.271	0.271	0.271	0.271	0.36	0.36	0.504	0.444	0.444	0.0	0.0	0.0	0.0	0.0	0.0
leaf_5	0.271	0.271	0.271	0.271	0.271	0.271	0.271	0.271	0.271	0.36	0.36	0.444	0.504	0.468	0.0	0.0	0.0	0.0	0.0	0.0
leaf_15	0.271	0.271	0.271	0.271	0.271	0.271	0.271	0.271	0.271	0.36	0.36	0.444	0.468	0.504	0.0	0.0	0.0	0.0	0.0	0.0
leaf_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.504	0.21	0.21	0.21	0.21	0.21
leaf_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.504	0.487	0.356	0.356	0.356
leaf_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.487	0.504	0.356	0.356	0.356
leaf_14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.356	0.356	0.504	0.46099999999999997	0.46099999999999997
leaf_8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.356	0.356	0.46099999999999997	0.504	0.491
leaf_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.356	0.356	0.46099999999999997	0.491	0.504
